sample_ID,country,site,material,S,C,N,ex_Ca,ex_Mg,ex_K,ex_Al,ex_Na,ex_Fe,ex_Mn,pH_BaCl2,CEC_eff,BS_eff,pH,P_resin,Fe_tot,Si_tot,Al_tot,P_tot,K_tot,Ca_tot,Mn_tot,Zn_tot,Cu_tot,Zn_DTPA,Cu_DTPA,Fe_DTPA,Mn_DTPA,sand,clay,silt,site_comb
BF_mo_12_soil_cal,BF,mo,soil,59,5.909,0.477,458,43.4,531,0,95,1.47,5.95,3.64,4.414363859682934,99.99221563607264,6.697,12.709352470017379,8.09,280.4,36.61,415.49999999999994,8.788,3.168,247.8,15,1.5,1.436,0.1246,6.2,4.26,85.9,6.1,8,mo
BF_mo_13_soil_cal,BF,mo,soil,126,18.633,1.2389999999999999,2050,126,121,0,15.1,2.07,5.89,3.58,11.642429115265026,99.99661118659279,7.364,5.241539904449055,10.5,280.5,42.58,520.8000000000001,3.0140000000000002,4.0600000000000005,300.40000000000003,18.8,6.4,2.2,0.312,11.96,10.16,62.75,13.18,24.07,mo
BF_mo_14_soil_cal,BF,mo,soil,72.00000000000001,5.305,0.369,582,43.9,70.7,0,10.3,1.71,2.81,3.67,3.491529532423233,99.990815076589,8.389,4.168267245384311,11.36,253.2,27.15,412,1.187,2.1479999999999997,115.8,12.1,3.9,1.06,0.1722,7.3,4.32,85.75,6.32,7.93,mo
BF_mo_15_soil_cal,BF,mo,soil,52,4.862,0.35200000000000004,395,41.5,65,0,9.18,1.29,5.31,3.51,2.519292626999965,99.98160021944616,6.458,2.1911962288405653,3.883,363,10.43,240.1,1.6989999999999998,1.1260000000000001,67.9,10.1,1.7,1.78,0.1344,7.44,3.66,85.61,6.39,8,mo
BF_mo_16_soil_cal,BF,mo,soil,79.00000000000001,9.191,0.7230000000000001,814,80.5,113,0,13.8,1.87,7.58,3.7,5.073836815664016,99.99410132099003,6.531,2.914591470654026,12.989999999999998,235.7,37.55,418.5,8.888,3.129,239.9,17.2,3.4,1.514,0.1668,9.48,6.5,77.61,8.46,13.93,mo
BF_mo_17_soil_cal,BF,mo,soil,54.99999999999999,4.734,0.342,413,34,41.8,0,11.1,1.78,7,3.68,2.4962650059014373,99.98744546677186,6.545,1.440175523590733,6.309,266.1,22.040000000000003,366.5,1.8579999999999999,1.0539999999999998,163.6,11.4,2.3,1.224,0.1118,4.2,5.08,79.82,7.52,12.66,mo
BF_mo_18_soil_cal,BF,mo,soil,47.99999999999999,4.812,0.35700000000000004,392,49.5,53.2,0,11.8,1.94,8.17,2.48,2.5558710060437475,99.80566441692504,6.224,1.5992860773134179,6.029999999999999,275.7,21.61,375,3.9029999999999996,1.4680000000000002,170.1,11.5,1.7,1.468,0.1072,8.98,6.26,81.9,6.72,11.38,mo
BF_mo_19_soil_cal,BF,mo,soil,76,7.099,0.531,614,60.6,100,0,11.9,2.19,4.94,3.58,3.870611711669894,99.9898067740147,7.031,3.702179940192343,13.100000000000001,243.6,38.55,478.8,2.167,1.944,155.6,15,5.1,1.372,0.187,8.56,4.5,81.82,8.32,9.86,mo
BF_mo_20_soil_cal,BF,mo,soil,72.66666666666667,7.1736666666666675,0.4773333333333334,682,64.3,67.2,12.9,9.87,6.35,8.48,3.41,4.291303339379725,96.64383658751105,6.609333333333334,1.7905019440980872,14.86,272,39.81,453.3,4.680000000000001,2.4859999999999998,235,16.5,4.6,1.6966666666666665,0.2008,7.406666666666666,8.6,72.97,10.32,16.71,mo
CI_sb_01_soil_cal,CI,sb,soil,241.66666666666666,19.519333333333332,1.972,1990,223,137,0,13.3,1.73,9.59,3.68,12.174214822130596,99.99742575250885,6.548666666666667,8.750377840480825,29.57,218.79999999999998,78.07000000000001,626,23.84,5.204,753.4000000000001,48.1,26.1,9.42,1.201,13.71,19.65,66.61,18.82,14.57,sb
CI_sb_02_soil_cal,CI,sb,soil,182,18.157,1.5390000000000001,1600,336,380,0,14.1,1.94,7.48,2.57,11.786578595442503,99.9657466144802,7.253,10.832190882185936,20.939999999999998,216,72.66,582,32.28,3.359,1146,40.2,12.1,9.76,0.904,10.28,23.6,74.68,11.75,13.57,sb
CI_sb_03_soil_cal,CI,sb,soil,154,12.946,1.129,784,86.36666666666666,168.76666666666665,0,10.07,1.9766666666666668,5.173333333333333,3.6,5.098890225515584,99.99261049075267,6.264,5.117243320358262,10.169999999999998,232,64.58,434,1.991,1.592,121.3,21.5,5.9,2.68,0.342,49.8,3.94,80.54,13.62,5.84,sb
CI_sb_04_soil_cal,CI,sb,soil,172,12.999,1.228,453,91.8,77.6,32.7,17.5,4.33,12.3,3.41,3.6547738832411047,90.03532782066492,4.705,4.865498692293133,17.05,230.6,95.97,375.2,0.5404,0.7148,102.2,29.1,7.7,NA,0.72,176.6,8.88,69.46,22.75,7.78,sb
CI_sb_05_soil_cal,CI,sb,soil,147,12.578,1.064,520,111,234,0,14.9,2.65,5.06,3.42,4.172209331518361,99.98633136429247,6.058,7.1227039690136165,11.75,243.9,82.83,409.3,1.762,0.9808,78.2,27.4,5.1,NA,0.436,86.8,4.26,77.46,16.75,5.78,sb
CI_sb_06_soil_cal,CI,sb,soil,152,15.181000000000001,1.2389999999999999,1010,61.6,113,0,15.9,2.14,10.7,3.42,5.9058113810482995,99.99034367917149,5.746,4.487740119712192,12.290000000000001,217.60000000000002,82.84,429,1.369,1.796,207.5,26.7,7.3,5.5,0.55,86.4,8.28,75.32,18.75,5.93,sb
CI_sb_07_soil_cal,CI,sb,soil,225,21.919,1.8199999999999998,1650,432,868,0,15.1,1.87,3.55,3.7,14.074810347220717,99.99787358166923,7.723,7.142716352679196,14.92,200.7,79.05,541.4,3.099,3.772,462,31.3,4.7,4.68,0.414,20,13.16,74.11,17.09,8.8,sb
CI_sb_08_soil_cal,CI,sb,soil,222,18.674,1.561,1570,241,421,0,12.2,1.57,1.7,4.24,10.947787622236142,99.99921156681533,7.823,6.556421392694184,14.55,209.1,91.8,476.90000000000003,1.048,3.668,131,29.5,4.7,4.04,0.452,22.4,5.04,71.97,19.89,8.14,sb
CI_sb_09_soil_cal,CI,sb,soil,109.99999999999999,7.8100000000000005,0.707,374,40.9,35.3,0,13,1.91,4.3,3.35,2.3504191589868237,99.97149336595285,6.058,3.353705045329302,5.356,241.8,32.1,390,3.466,1.8379999999999999,100.7,14.1,2.6,1.976,0.183,24.6,3.56,87.32,6.82,5.86,sb
CI_sb_10_soil_cal,CI,sb,soil,115,8.201,0.795,464,85.4,122,0,12.3,1.87,7.36,3.14,3.3848454648110207,99.96789649774533,5.927,4.481069325156999,7.285,245.5,76.38,309.5,1.9900000000000002,0.9411,141.9,20.5,2.8,3.84,0.32,23,6.08,79.68,14.03,6.29,sb
CI_sb_11_soil_cal,CI,sb,soil,160,12.751999999999999,1.09,1020,77.5,104,0,12.7,1.96,2.31,3.3,6.049794668321169,99.98757344849443,7.125,8.566188679732265,5.4190000000000005,257.3,36.06,431.4,9.370000000000001,3.473,59.199999999999996,16.3,1.1,3.36,0.1066,57.8,2.54,81.75,8.1,10.14,sb
CI_sb_12_soil_cal,CI,sb,soil,90,5.691000000000001,0.515,406,43.9,46.6,0,12.1,1.77,10.2,3.43,2.5596683107641884,99.97822753669676,6.028,2.921295619181995,4.9430000000000005,282.6,27.95,448.9,9.247,1.338,234.8,13.9,1.1,2.66,0.1586,14.8,7.44,85.82,6.1,8.07,sb
CI_sb_13_soil_cal,CI,sb,soil,120.00000000000001,8.995999999999999,0.838,725,59.4,84.3,0,9.82,1.84,3.23,3.62,4.365419422678054,99.99175737992131,7.363,7.9038888691078455,7.087,264.8,34.64,459.00000000000006,5.295,2.231,207.7,21.3,2.8,3.34,0.1624,7.34,4.24,81.9,8.1,10,sb
CI_sb_14_soil_cal,CI,sb,soil,151.00000000000003,9.778,0.866,622,146,70.6,0,15.9,2.34,15,3.34,4.555764224989388,99.98495022458226,6.152,2.338034697248654,28.35,238.6,72.87,498.7,2.501,1.3619999999999999,496.6,21.5,16.1,3.2,1.174,23.2,16.02,77.9,16.03,6.07,sb
CI_sb_15_soil_cal,CI,sb,soil,105.00000000000001,7.752,0.762,615,81.4,166,0,13.9,1.84,13.2,3.24,4.22473482136334,99.97956889739822,6.541,2.2063283818360238,11.99,270.5,50.35,504.59999999999997,27.040000000000003,1.4660000000000002,597.9,22.5,7.5,3,0.504,12.04,14.98,77.97,10.03,12,sb
CI_sb_16_soil_cal,CI,sb,soil,85,7.065,0.636,603,60.1,146,0,12.6,1.92,5.33,3.27,3.93271325964953,99.97951674476701,7.029,3.5671704710954932,5.8469999999999995,246.8,34.04,508,18.03,2.082,340.6,18.1,4.1,2.44,0.274,6.1,5.56,87.75,6.1,6.14,sb
CI_sb_17_soil_cal,CI,sb,soil,216.00000000000003,21.174,1.803,1850,330,261,0,16.3,2.46,4.79,3.46,12.686462068743113,99.99590031268875,7.405,3.7154554818318863,35.2,200.39999999999998,74.48,615,4.774,3.9040000000000004,754.6999999999999,38.4,21,3.74,0.768,14.94,13,72.68,16.1,11.22,sb
CI_sb_18_soil_cal,CI,sb,soil,115.99999999999999,6.364,0.6619999999999999,NA,62.6,90.4,0,13.5,2.07,25.1,3.49,NA,NA,6.047,5.881936181747629,18.6,237.8,64.72,650,23.62,1.664,978.5000000000001,41.2,20.1,5.7,1.486,16.78,26.6,73.75,13.1,13.14,sb
CI_sb_19_soil_cal,CI,sb,soil,121,8.759,0.8999999999999999,690,179,124,0,14.4,1.94,13.2,3.65,5.29635705549414,99.99365963874288,6.704,2.4520052222241344,10.98,276.6,51.959999999999994,429.99999999999994,31.589999999999996,2.138,616.2,23.9,6.1,3.52,0.406,9.08,15.2,79.61,9.1,11.29,sb
