model,dataType,n,min,max,mean,median,sdev,cv,skewness_b1,kurtosis,rmse,mse,me,bias,msv,sde,mae,r2,b,rpd,rpiq,SB,NU,LC,SB_prop,NU_prop,LC_prop,ncomp,response,min_obs,median_obs,max_obs,mean_obs,CV
pls_clay,Cross-validation,80,1,26.1,11.64475,10.14,4.924701102540853,0.42291170721061877,1.0398242555799004,0.334913769412458,2.127894910142945,4.527936748612253,0.03485549419337184,0.03485549419337184,4.526721843136788,2.127609419780047,1.5915192088376005,0.8111184238345066,1.0127905906583887,2.3143535327174725,2.8431855215977655,0.001214905475464178,0.0030982967309390614,4.523623546405849,0,0,100,2,clay,4.54,10.14,26.1,11.64475,42.291170721061874
pls_pH,Cross-validation,80,1,8.389,6.415941666666667,6.4355,0.7277044340868016,0.11342129836801845,0.12780512882418082,-0.10562779332583272,0.454697968202768,0.2067502422877254,0.0052748514077797124,0.0052748514077797124,0.20672241823035123,0.45466737097613596,0.3565891544659814,0.6079813881999747,1.0794521490360778,1.600412768421013,1.974387533659835,2.7824057374155614e-5,0.0017224314152201523,0.20499998681513107,0,1,99,8,pH,4.705,6.4355,8.389,6.415941666666667,11.342129836801845
pls_exch_K,Cross-validation,94,0,868,145.17801418439717,104,138.5650107766957,0.9544490021794759,2.3716919834475703,7.1780460942061755,120.48107260710972,14515.688856559644,-1.870288344126255,-1.870288344126255,14512.190878069468,120.46655501868338,69.09729182461265,0.28049395641233543,0.7152553879796479,1.1500977521054938,0.7646429269468804,3.4979784901745288,844.4511220079779,13667.739756061492,0,6,94,1,ex_K,0,104,868,145.17801418439717,95.44490021794759
pls_exch_Ca,Cross-validation,92,1,2170,774.0076086956522,603.5,539.3051833460925,0.6967698731733694,1.2808451114564727,0.6206069240061427,237.04227805727692,56189.041586583386,3.3567771635604684,3.3567771635604684,56177.77363365759,237.01850905289567,178.44347543696912,0.806480092065815,1.0489008154129735,2.275143437559182,2.0558920430876815,11.267952925801064,504.289308737979,55673.48432491962,0,1,99,5,ex_Ca,97.7,603.5,2170,774.0076086956522,69.67698731733694
pls_exch_Mg,Cross-validation,93,1,432,112.5853046594982,76.3,94.20551968278973,0.8367479216555295,1.419233133226731,1.1966215365713406,57.861174959967244,3347.9155677479407,1.8209574859458626,1.8209574859458626,3344.5996815823187,57.8325140520652,40.893691758408764,0.6234600219185038,0.9222886734769504,1.6281300846028146,1.8682648611057724,3.3158861656222762,38.85984670912137,3305.739834873197,0,1,99,3,ex_Mg,17.5,76.3,432,112.5853046594982,83.67479216555294
pls_exch_Al,Cross-validation,94,0,46.8,3.8053191489361704,0,9.830686398128009,2.5834065457758815,3.0577979991064397,8.873581120882402,8.964954448493762,80.3704082635681,0.12575559501130246,0.12575559501130246,80.35459379389144,8.964072388925217,6.010654651675225,0.20549932290884254,0.6790602426477507,1.09656847166465,0,0.01581446967664672,4.3889800408146264,75.9656137530768,0,5,95,2,ex_Al,0,0,46.8,3.8053191489361704,258.34065457758817
pls_CEC,Cross-validation,91,0.8728928010706658,14.586521118821311,5.312948773338124,4.172209331518361,3.5595087018252016,0.669968571819819,1.2425102123740859,0.49429597543101744,1.4179431244849554,2.010562704274158,-0.0073872985632223885,-0.0073872985632223885,2.010508132094096,1.4179238809238301,1.1097633062188401,0.8406758377623244,1.0378872913868127,2.5103324952600867,2.279046668316085,5.4572180062187564e-5,0.01403771846900345,1.9964704136250921,0,1,99,6,CEC_eff,0.8728928010706658,4.172209331518361,14.586521118821311,5.312948773338124,66.9968571819819
pls_BS,Cross-validation,91,1,99.99973548411666,98.38123455918449,99.98633136429247,3.8875112599140014,0.039514763941850516,-2.826721602056051,7.975580402667765,3.4094235088834686,11.624168662927264,-0.011749033002006255,-0.011749033002006255,11.624030623150782,3.409403264964528,2.4492260178917964,0.24460426474727276,0.7680661157705588,1.1402253928808916,0.012198938669028596,1.3803977648223212e-4,0.3333800843700008,11.290650538780776,0,3,97,2,BS_eff,79.35978384403238,99.98633136429247,99.99973548411666,98.38123455918449,3.9514763941850517
pls_C,Cross-validation,94,1,24.687,9.9312695035461,8.485499999999998,5.74793478350719,0.5787714029364331,0.8843379878981041,-0.1281818429845898,1.6186119274302957,2.619904571619617,0.031309246537859464,0.031309246537859464,2.618924302700848,1.618309087504871,1.1979230266750227,0.9203336082688099,1.0227201480844208,3.551150640927623,4.755463536105369,9.802689187684648e-4,0.014846795690880404,2.6040775070099675,0,1,99,6,C,2.404,8.485499999999998,24.687,9.9312695035461,57.877140293643315
pls_N,Cross-validation,94,0.18100000000000002,2.481,0.8143014184397163,0.724,0.494187200777744,0.6068848580967188,0.9844295595060077,0.5409532508371897,0.16318542444900377,0.02662948275260152,-3.374631596018235e-4,-3.374631596018235e-4,0.026629368871217435,0.16318507551616795,0.1090526865208002,0.8899849564150347,1.0150406353946673,3.0283783153205563,4.253341471377781,1.1388138408844579e-7,4.7215680830973346e-5,0.026582153190386475,0,0,100,6,N,0.18100000000000002,0.724,2.481,0.8143014184397163,60.688485809671874
pls_S,Cross-validation,94,1,242,111.31914893617021,99,51.760359374845756,0.4649726472893254,0.6802515350446396,-0.4823435649170724,19.97548822640853,399.0201298833857,0.502023708225314,0.502023708225314,398.7681020797654,19.969178803340046,14.92631289532915,0.8499936510202232,0.977847751242435,2.591193706415453,4.075828622753262,0.25202780362029514,1.156267980688041,397.61183409907716,0,0,100,2,S,41,99,242,111.31914893617021,46.49726472893254
pls_P,Cross-validation,94,1,1631,530.2117021276596,467.3,211.63772040989625,0.399157015133061,2.6862863106822417,9.696596760131088,131.10254640816248,17187.877674704396,-3.12288418827464,-3.12288418827464,17178.125269051023,131.0653473235814,84.02601244346265,0.6125454511340277,0.9826593615287337,1.6142914551102847,1.4389499301766009,9.752405653375757,8.452861244371427,17169.67240780665,0,0,100,3,P_tot,240.1,467.3,1631,530.2117021276596,39.915701513306104
pls_Fe_DTPA_log,Cross-validation,92,1,6.697034247666484,2.920707322429448,2.667922169219379,1.1091809235789152,0.379764488917122,0.8583795498591386,0.4636382641607577,0.5413973983400701,0.29311114292939655,0.007084872401123925,0.007084872401123925,0.2930609475124563,0.5413510390795019,0.43064016473690137,0.7668341615040988,1.111028407588808,2.0487370773846996,2.8233733725275876,5.019541694020749e-5,0.009319179898213297,0.283741767614243,0,3,97,9,log(Fe_DTPA),1.0224509277025455,2.667922169219379,6.697034247666484,2.920707322429448,37.9764488917122
pls_Zn_DTPA,Cross-validation,87,0.21,11.473333333333333,2.765789272030651,1.886,2.45751895070249,0.8885416454371348,1.8205690230269245,2.8947027885836336,2.1489715177288775,4.618078584009956,0.037410335239121406,0.037410335239121406,4.616679050827251,2.1486458644521322,1.497651878739064,0.25420145202442584,0.7524387916812312,1.143579116999977,1.0125774036780568,0.0013995331827034488,0.16427588269910276,4.452403168128149,0,4,96,3,Zn_DTPA,0.21,1.886,11.473333333333333,2.765789272030651,88.85416454371348
pls_Cu_DTPA,Cross-validation,92,0.0938,1.496,0.4091485507246377,0.243,0.36221151493091447,0.885281187699202,1.4166163897580781,1.2069480184682666,0.18416134186100108,0.03391539983604451,0.004548842028843349,0.004548842028843349,0.03389470787224114,0.1841051543880321,0.12951696233575105,0.739516281609129,1.0318514066830244,1.9668162235932218,2.224951207779892,2.069196380337167e-5,9.144263324891265e-5,0.033803265238992235,0,0,100,6,Cu_DTPA,0.0938,0.243,1.496,0.4091485507246377,88.52811876992021
pls_Mn_DTPA,Cross-validation,92,1,31.4,8.64054347826087,6.539999999999999,5.9398469263498175,0.6874390414554529,1.768535374838608,2.7489746292519737,4.04696418562175,16.377919119705112,-0.013167574496458678,-0.013167574496458678,16.377745734686993,4.046942763949966,2.9496702606106466,0.5452200559315653,0.8597057230525511,1.4677290566230343,1.328156058088322,1.73385018119789e-4,0.5067061421211982,15.871039592565793,0,3,97,3,Mn_DTPA,2.52,6.539999999999999,31.4,8.64054347826087,68.74390414554529
